Thang,PH RL (ty),So dot,%MoM,%YoY,Mua lai (ty),So dot,%MoM,%YoY,GTGD (ty),So phien,BQ/phien,%MoM,%YoY,PH cong chung (ty),So dot CC,Tong TPDN (ty),So ma cham tra,Goc cham tra (ty),VBMA PH RL,lech RL%,VBMA mua lai,lech ML%,VBMA GTGD,lech GD%
2025-07,32464.0,41,-74.1,-19.9,26886.0,73,-57.8,-19.5,132027.0,23,5740.0,2.3,56.4,13549.0,1,46013.0,7,881.0,31704.0,2.4,16054.0,67.5,132027.0,-0.0
2025-08,54730.0,57,68.6,3.3,47999.0,171,78.5,202.0,109288.0,21,5204.0,-17.2,50.8,6332.0,6,61062.0,4,313.0,54030.0,1.3,27032.0,77.6,109288.0,-0.0
2025-09,56070.0,49,2.4,-1.2,41280.0,90,-14.0,95.6,150766.0,20,7538.0,38.0,71.8,499.0,1,56569.0,5,150.0,50070.0,12.0,19509.0,111.6,150766.0,0.0
2025-10,64602.0,53,15.2,69.1,19498.0,47,-52.8,9.3,101755.0,23,4424.0,-32.5,-16.1,2299.0,4,66901.0,5,714.0,64602.0,0.0,9948.0,96.0,101755.0,-0.0
2025-11,35243.0,43,-45.4,-2.5,17906.0,54,-8.2,63.7,110470.0,20,5524.0,8.6,15.8,0.0,0,35243.0,3,287.0,35243.0,-0.0,11144.0,60.7,110470.0,0.0
2025-12,101183.0,101,187.1,24.0,43250.0,101,141.5,1.3,176770.0,23,7686.0,60.0,34.1,4771.0,6,105954.0,3,110.0,96143.0,5.2,35820.0,20.7,176770.0,0.0
2026-01,380.0,2,-99.6,,1451.0,25,-96.6,-89.4,108730.0,20,5436.0,-38.5,35.7,4811.0,3,5191.0,4,746.0,190.0,100.0,384.0,277.8,108730.0,0.0
2026-02,80.0,1,,,3115.0,25,114.7,-19.4,63184.0,15,4212.0,-41.9,-14.0,3301.0,3,3381.0,3,490.0,80.0,-0.6,1749.0,78.1,63184.0,-0.0
2026-03,28006.0,10,,,7733.0,42,148.2,-22.8,151283.0,22,6876.0,139.4,25.2,6111.0,2,34117.0,10,2205.0,27036.0,3.6,6298.0,22.8,151283.0,-0.0
2026-04,42450.0,24,51.6,-5.7,30338.0,36,292.3,150.4,131000.0,20,6550.0,-13.4,30.4,2000.0,1,44450.0,4,120.0,43450.0,-2.3,16663.0,82.1,131020.0,-0.0
2026-05,51952.0,47,22.4,-30.4,39677.0,59,30.8,82.5,120129.0,20,6006.0,-8.3,8.0,4999.0,4,56951.0,2,125.0,51952.0,-0.0,19780.0,100.6,120129.0,0.0
2026-06,119458.0,78,129.9,-4.8,70592.0,96,77.9,10.8,167556.0,22,7616.0,39.5,29.8,3500.0,2,122958.0,2,3000.0,40376.0,195.9,58397.0,20.9,168576.0,-0.6
