Thang,Ky bao cao,Ngay chot so lieu,PH Rieng le (ty),So dot RL,PH Cong chung (ty),So dot CC,PH Tong TPDN (ty),%MoM Tong,%YoY Tong,Luy ke RL (ty),Luy ke CC (ty),Luy ke Tong (ty),Mua lai truoc han (ty),So ma cham tra,Goc cham tra (ty),GTGD thu cap (ty),BQ/phien (ty),%MoM thu cap,%YoY thu cap,Luy ke GTGD thu cap (ty)
2025-07,T7/2025,31/07/2025,31704,31,13549,1,45253,-64,11,272368,41453,313821,16054,7,881,132027,5740,2.31,56.4,747250
2025-08,T8/2025,30/08/2025,54030,37,6332,6,60362,33,-4,326398,47785,374183,27032,4,313,109288,5204,-17.22,50.8,856538
2025-09,T9/2025,30/09/2025,50070,26,499,1,50569,-16,-10,376468,48284,424752,19509,5,150,150766,7538,38.0,71.8,1007304
2025-10,T10/2025,31/10/2025,64602,38,2299,4,66902,32,71,441070,50583,491654,9948,5,714,101755,4424,-32.51,-16.1,1109059
2025-11,T11/2025,30/11/2025,35243,24,0,0,35243,-47,-4,476313,50583,526897,11144,3,287,110470,5524,8.56,15.8,1219529
2025-12,T12/2025,31/12/2025,96143,62,4771,6,100914,186,23,572456,55354,627811,35820,3,110,176770,7686,60.02,34.1,1396299
2026-01,T1/2026,31/01/2026,190,1,4811,3,5001,-95,-10,190,4811,5001,384,4,746,108730,5437,-38.49,35.7,108730
2026-02,T2/2026,28/02/2026,80,1,3301,3,3381,-32,44,270,8112,8382,1749,3,490,63184,4212,-41.89,-14.0,171914
2026-03,T3/2026,31/03/2026,27036,3,6111,2,33147,880,93,27306,14223,41529,6298,10,2205,151283,6877,139.43,25.2,323197
2026-04,T4/2026,29/04/2026,43450,17,2000,1,45450,37,-7,70756,16223,86979,16663,4,120,131020,6551,-13.41,30.4,454247
2026-05,T5/2026,29/05/2026,51952,29,4999,4,56951,25,-18,122708,21222,143930,19780,2,125,120129,6006,-8.31,7.8,574376
2026-06,T6/2026,30/06/2026,40376,39,3500,2,43876,-23,-65,163084,24722,187806,58397,2,3000,168576,7662,40.33,28.7,742952
