Thang,Ky bao cao,Ngay chot so lieu,PH Rieng le (ty),So dot RL,PH Cong chung (ty),So dot CC,PH Tong TPDN (ty),%MoM Tong,%YoY Tong,Luy ke RL (ty),Luy ke CC (ty),Luy ke Tong (ty),Mua lai truoc han (ty),So ma cham tra,Goc cham tra (ty),GTGD thu cap (ty),BQ/phien (ty),%MoM thu cap,%YoY thu cap,Luy ke GTGD thu cap (ty)
2024-01,T1/2024,31/01/2024,1650,2,2650,1,4300,,,1650,2650,4300,7394,7,8432.0,,,,,
2024-02,T2/2024,29/02/2024,2165,3,0,0,2165,-50,,3815,2650,6465,2056,7,6213.0,,,,,
2024-03,T3/2024,31/03/2024,10795,7,6228,0,17023,686,,14610,8878,23488,8031,7,4851.0,91120,,51.8,,
2024-04,T4/2024,30/04/2024,19227,13,0,0,19227,13,,33837,8878,42715,12001,1,47.0,68406,,-25.0,,
2024-05,T5/2024,31/05/2024,29345,19,500,0,29845,55,,63182,9378,72560,9178,10,8781.0,97581,4435,23.0,,
2024-06,T6/2024,30/06/2024,73265,30,2000,3,75265,152,,136447,11378,147825,13336,2,980.0,99467,4973,1.93,,
2024-07,T7/2024,31/07/2024,40542,33,395,1,40937,-46,,176989,11773,188762,32094,4,3392.0,84406,3670,-15.14,,
2024-08,T8/2024,31/08/2024,50474,43,11000,2,61474,50,,227463,22773,250236,11023,11,1195.5,72740,3294,-13.82,,
2024-09,T9/2024,30/09/2024,54764,24,1469,1,56233,-9,,282227,24242,306469,11749,28,789.8,87768,4619,21.11,,
2024-10,T10/2024,31/10/2024,34006,21,5059,4,39065,-31,,316233,29301,345534,12772,1,2658.0,121223,5271,38.12,,
2024-11,T11/2024,30/11/2024,35423,29,0,0,35423,-9,,351656,29301,380957,6204,7,151.4,95357,4541,-21.34,35.67,
2024-12,T12/2024,31/12/2024,79128,54,800,1,79928,126,,430784,30101,460885,27458,3,80.3,131786,5990,38.2,33.83,
2025-01,T1/2025,31/01/2025,0,0,5554,4,5554,-93,29,0,5554,5554,5661,0,0.0,80128,4713,-39.2,7.5,80128
2025-02,T2/2025,28/02/2025,0,0,2351,0,2351,-58,9,0,7905,7905,2592,1,39.0,73491,3675,-8.28,44.5,153619
2025-03,T3/2025,31/03/2025,2000,1,15199,4,17199,632,1,2000,23104,25104,5430,7,660.0,120858,5755,64.45,32.6,274477
2025-04,T4/2025,30/04/2025,44011,19,4800,2,48811,184,154,46011,27904,73915,10318,2,10.3,100470,5023,-16.87,46.9,374947
2025-05,T5/2025,31/05/2025,69171,42,0,0,69171,42,132,115182,27904,143086,15858,6,306.0,111260,5563,10.74,14.0,486207
2025-06,T6/2025,30/06/2025,125482,65,0,0,125482,81,67,240664,27904,268568,39265,7,5224.0,129040,6145,15.98,29.7,615247
2025-07,T7/2025,31/07/2025,31704,31,13549,1,45253,-64,11,272368,41453,313821,16054,7,881,132027,5740,2.31,56.4,747250
2025-08,T8/2025,30/08/2025,54030,37,6332,6,60362,33,-4,326398,47785,374183,27032,4,313,109288,5204,-17.22,50.8,856538
2025-09,T9/2025,30/09/2025,50070,26,499,1,50569,-16,-10,376468,48284,424752,19509,5,150,150766,7538,38.0,71.8,1007304
2025-10,T10/2025,31/10/2025,64602,38,2299,4,66902,32,71,441070,50583,491654,9948,5,714,101755,4424,-32.51,-16.1,1109059
2025-11,T11/2025,30/11/2025,35243,24,0,0,35243,-47,-4,476313,50583,526897,11144,3,287,110470,5524,8.56,15.8,1219529
2025-12,T12/2025,31/12/2025,96143,62,4771,6,100914,186,23,572456,55354,627811,35820,3,110,176770,7686,60.02,34.1,1396299
2026-01,T1/2026,31/01/2026,190,1,4811,3,5001,-95,-10,190,4811,5001,384,4,746,108730,5437,-38.49,35.7,108730
2026-02,T2/2026,28/02/2026,80,1,3301,3,3381,-32,44,270,8112,8382,1749,3,490,63184,4212,-41.89,-14.0,171914
2026-03,T3/2026,31/03/2026,27036,3,6111,2,33147,880,93,27306,14223,41529,6298,10,2205,151283,6877,139.43,25.2,323197
2026-04,T4/2026,29/04/2026,43450,17,2000,1,45450,37,-7,70756,16223,86979,16663,4,120,131020,6551,-13.41,30.4,454247
2026-05,T5/2026,29/05/2026,51952,29,4999,4,56951,25,-18,122708,21222,143930,19780,2,125,120129,6006,-8.31,7.8,574376
2026-06,T6/2026,30/06/2026,40376,39,3500,2,43876,-23,-65,163084,24722,187806,58397,2,3000,168576,7662,40.33,28.7,742952
