Thang,Ky bao cao,Ngay chot so lieu,PH Rieng le (ty),So dot RL,PH Cong chung (ty),So dot CC,PH Tong TPDN (ty),%MoM Tong,%YoY Tong,Luy ke RL (ty),Luy ke CC (ty),Luy ke Tong (ty),Mua lai truoc han (ty),So ma cham tra,Goc cham tra (ty),GTGD thu cap (ty),BQ/phien (ty),%MoM thu cap,%YoY thu cap,Luy ke GTGD thu cap (ty)
2025-07,T7/2025,31/07/2025,27294,31,2649,1,29943,-76,-27,267958,30553,298511,16054,7,881,132027,5740,2.31,56.4,747250
2025-08,T8/2025,30/08/2025,39357,37,6332,6,45689,1,-27,311725,47785,359510,27032,4,313,109288,5204,-17.22,50.8,856538
2025-09,T9/2025,30/09/2025,23204,26,499,1,23703,-61,-58,349603,48284,397887,19509,5,150,150766,7538,38.0,71.8,1007304
2025-10,T10/2025,31/10/2025,54893,38,2299,4,57192,13,46,431361,50583,481944,9948,5,714,101755,4424,-32.51,-16.1,1109059
2025-11,T11/2025,30/11/2025,19608,24,0,0,19608,-71,-46,460679,50583,511262,11144,3,287,110470,5524,8.56,15.8,1219529
2025-12,T12/2025,31/12/2025,58667,62,3771,6,62438,77,-24,534980,54354,589334,35820,3,110,176770,7686,60.02,34.1,1396299
2026-01,T1/2026,31/01/2026,190,1,3521,3,3711,-96,-33,190,3521,3711,384,4,746,108730,5437,-38.49,35.7,108730
2026-02,T2/2026,28/02/2026,80,1,3301,3,3381,-32,44,270,8223,8492,1749,3,490,63184,4212,-41.89,-14.0,171914
2026-03,T3/2026,31/03/2026,11616,3,4695,2,16310,382,-5,11885,12917,24802,6298,10,2205,151283,6877,139.43,25.2,323197
2026-04,T4/2026,29/04/2026,35235,17,1000,1,36235,9,-26,62540,15334,77874,16663,4,120,131020,6551,-13.41,30.4,454247
2026-05,T5/2026,29/05/2026,36263,29,3999,4,40262,21,-42,107018,20333,127350,19780,2,125,120129,6006,-8.31,7.8,574376
2026-06,T6/2026,30/06/2026,40376,39,3500,2,43876,-23,-65,163083,24833,187915,58397,2,3000,168576,7662,40.33,28.7,742952
