Thang,VBMA lan dau (ty),VBMA da DINH CHINH (ty),HNX cao moi nhat (ty),Chenh (HNX-VBMA dc),% chenh,HNX so dot,Danh gia
2025-07,27294,31704,32464.0,760.0,2.4,41,Lech - CBTT bo sung sau
2025-08,39357,54030,54730.0,700.0,1.3,57,Lech - CBTT bo sung sau
2025-09,23204,50070,56070.0,6000.0,12.0,49,Lech - CBTT bo sung sau
2025-10,54893,64602,64602.0,0.0,0.0,53,Khop (~0%)
2025-11,19608,35243,35243.0,0.0,0.0,43,Khop (~0%)
2025-12,58667,96143,101183.0,5040.0,5.2,101,Lech - CBTT bo sung sau
2026-01,190,190,380.0,190.0,100.0,2,Lech - CBTT bo sung sau
2026-02,80,80,80.0,0.0,0.0,1,Khop (~0%)
2026-03,11616,27036,28006.0,970.0,3.6,10,Lech - CBTT bo sung sau
2026-04,35235,43450,42450.0,-1000.0,-2.3,24,Lech - CBTT bo sung sau
2026-05,36263,51952,51952.0,0.0,0.0,47,Khop (~0%)
2026-06,40376,40376,119458.0,79082.0,195.9,78,CHUA dinh chinh (HNX +CBTT muon)
