Thang,VBMA cong bo (ty),HNX toan bo - moi nhat (ty),Chenh (HNX-VBMA),% chenh,HNX so dot,HNX loc theo ngay chot BC (ty),HNX(chot BC) vs VBMA
2025-07,16054.0,26886.0,10832.0,67.5,73,16054.0,Khop (~0%)
2025-08,27032.0,47999.0,20967.0,77.6,171,27032.0,Khop (~0%)
2025-09,19509.0,41280.0,21771.0,111.6,90,19509.0,Khop (~0%)
2025-10,9948.0,19498.0,9550.0,96.0,47,9948.0,Khop (~0%)
2025-11,11144.0,17906.0,6762.0,60.7,54,11144.0,Khop (~0%)
2025-12,35820.0,43250.0,7430.0,20.7,101,35820.0,Khop (~0%)
2026-01,384.0,1451.0,1067.0,277.9,25,384.0,Khop (~0%)
2026-02,1749.0,3115.0,1366.0,78.1,25,1749.0,Khop (~0%)
2026-03,6298.0,7733.0,1435.0,22.8,42,6298.0,Khop (~0%)
2026-04,16663.0,30338.0,13675.0,82.1,36,16663.0,Khop (~0%)
2026-05,19780.0,39677.0,19897.0,100.6,59,19781.0,Khop (~0%)
2026-06,58397.0,70592.0,12195.0,20.9,96,59492.0,Khop (~0%)
