Thang,VBMA GTGD (ty),HNX GTGD (ty),Chenh (ty),% chenh,VBMA BQ/phien,HNX BQ/phien,HNX so phien,Danh gia
2025-07,132027.0,132027.0,0.0,0.0,5740.0,5740.0,23,Khop (~0%)
2025-08,109288.0,109288.0,0.0,0.0,5204.0,5204.0,21,Khop (~0%)
2025-09,150766.0,150766.0,0.0,0.0,7538.0,7538.0,20,Khop (~0%)
2025-10,101755.0,101755.0,0.0,0.0,4424.0,4424.0,23,Khop (~0%)
2025-11,110470.0,110470.0,0.0,0.0,5524.0,5524.0,20,Khop (~0%)
2025-12,176770.0,176770.0,0.0,0.0,7686.0,7686.0,23,Khop (~0%)
2026-01,108730.0,108730.0,0.0,0.0,5437.0,5436.0,20,Khop (~0%)
2026-02,63184.0,63184.0,0.0,0.0,4212.0,4212.0,15,Khop (~0%)
2026-03,151283.0,151283.0,0.0,0.0,6877.0,6876.0,22,Khop (~0%)
2026-04,131020.0,131000.0,-20.0,-0.0,6551.0,6550.0,20,Khop (~0%)
2026-05,120129.0,120129.0,0.0,0.0,6006.0,6006.0,20,Khop (~0%)
2026-06,168576.0,167556.0,-1020.0,-0.6,7662.0,7616.0,22,Lech nho
