stt,ngay_dang_tin,ten_dn,ma_tp,menh_gia,ky_han,ngay_phat_hanh,ngay_dao_han,gt_phat_hanh,gt_dang_luu_hanh,gt_mua_lai,sl_mua_lai,gt_con_lai,sl_con_lai,ngay_mua_lai,tinh_trang,ghi_chu,file_id,menh_gia_num,gt_phat_hanh_num,gt_dang_luu_hanh_num,gt_mua_lai_num,sl_mua_lai_num,gt_con_lai_num,sl_con_lai_num
1,21/07/2026,AQCC - Công ty TNHH Dịch vụ và Tư vấn xây dựng Anh Quân,AQCCH2328001,"100,000,000",72 Tháng,03/11/2023,03/11/2029,"1,495,000,000,000","1,394,000,000,000","500,000,000,000","5,000","894,000,000,000","8,940",15/07/2026,Hiệu lực,,15831.0,100000000.0,1495000000000.0,1394000000000.0,500000000000.0,5000.0,894000000000.0,8940.0
2,21/07/2026,BID - Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,BIDLH2431022,"1,000,000,000",7 Năm,17/07/2024,17/07/2031,"105,000,000,000","105,000,000,000","105,000,000,000",105,0,0,17/07/2026,Hiệu lực,,15829.0,1000000000.0,105000000000.0,105000000000.0,105000000000.0,105.0,0.0,0.0
3,21/07/2026,XD3C - Công ty TNHH Phát triển Kinh doanh Xây dựng 3,XD3CH2328001,"100,000,000",72 Tháng,20/06/2023,20/06/2029,"2,250,000,000,000","2,210,000,000,000","1,210,000,000,000","12,100","1,000,000,000,000","10,000",15/07/2026,Hiệu lực,,15830.0,100000000.0,2250000000000.0,2210000000000.0,1210000000000.0,12100.0,1000000000000.0,10000.0
4,21/07/2026,TPB - Ngân hàng Thương mại cổ phần Tiên Phong,TPBANKBOND_A2_16072020_07,"100,000,000",7 Năm,16/07/2020,16/07/2027,"37,100,000,000","15,700,000,000","2,000,000,000",20,"13,700,000,000",137,16/07/2026,Hiệu lực,,15828.0,100000000.0,37100000000.0,15700000000.0,2000000000.0,20.0,13700000000.0,137.0
5,20/07/2026,BID - Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,BIDLH2131015,"1,000,000,000",10 Năm,16/07/2021,16/07/2031,"24,000,000,000","24,000,000,000","24,000,000,000",24,0,0,16/07/2026,Hiệu lực,,15809.0,1000000000.0,24000000000.0,24000000000.0,24000000000.0,24.0,0.0,0.0
6,20/07/2026,OCB - Ngân hàng TMCP Phương Đông,OCB12512,"1,000,000,000",3 Năm,15/07/2025,15/07/2028,"1,300,000,000,000","1,300,000,000,000","1,300,000,000,000","1,300",0,0,15/07/2026,Hiệu lực,,15808.0,1000000000.0,1300000000000.0,1300000000000.0,1300000000000.0,1300.0,0.0,0.0
7,15/07/2026,EVF - Công ty Tài chính Tổng hợp Cổ phần Điện Lực (Tên cũ: Công ty Tài chính cổ phần Điện Lực),EVFH2232001,"1,000,000,000",10 Năm,08/07/2022,08/07/2032,"1,725,000,000,000","1,410,000,000,000","106,000,000,000",106,"1,304,000,000,000","1,304",08/07/2026,Hiệu lực,,15768.0,1000000000.0,1725000000000.0,1410000000000.0,106000000000.0,106.0,1304000000000.0,1304.0
8,14/07/2026,BPEC - CTCP Năng lượng Bắc Phương,NLBPH2034001,"100,000,000",14 Năm,09/01/2020,09/01/2034,"1,732,500,000,000","1,170,900,000,000","10,000,000,000",100,"1,160,900,000,000","11,609",13/07/2026,Hiệu lực,,15788.0,100000000.0,1732500000000.0,1170900000000.0,10000000000.0,100.0,1160900000000.0,11609.0
9,10/07/2026,BID - Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,BIDLH2431020,"1,000,000,000",7 Năm,09/07/2024,09/07/2031,"450,000,000,000","450,000,000,000","450,000,000,000",450,0,0,09/07/2026,Hiệu lực,,15748.0,1000000000.0,450000000000.0,450000000000.0,450000000000.0,450.0,0.0,0.0
10,10/07/2026,NHHC - Công ty CP Đầu tư & Xây dựng Thủy điện Nậm Hồng,NHHCH2131001,"500,000,000",120 Tháng,28/09/2021,28/09/2031,"250,000,000,000","143,500,000,000","3,500,000,000",7,"140,000,000,000",280,29/06/2026,Hiệu lực,,15728.0,500000000.0,250000000000.0,143500000000.0,3500000000.0,7.0,140000000000.0,280.0
