stt,ma_cbtt,ma_gd,isin,ten_tcph,menh_gia,kl_dkgd,trang_thai,ngay_gd_dau,ngay_gd_cuoi,doi_tuong
1,3CICH2124001,CI312101,VN0CI3121012,Công ty Cổ phần Máy tính - Truyền thông - Điều khiển 3C,"100,000,000","1,174",Đăng ký giao dịch,10/11/2023,,Cá nhân chuyên nghiệp; Tổ chức chuyên nghiệp
2,AAAH2124001,AAA12101,VN0AAA121013,Công ty cổ phần Nhựa An Phát Xanh,"1,000,000,000",0,Đã hủy ĐKGD,26/10/2023,06/11/2024,Cá nhân chuyên nghiệp; Tổ chức chuyên nghiệp
3,AASH2227001,AAS12201,VN0AAS122011,Công ty Cổ phần Chứng khoán SmartInvest,"1,000,000","67,988",Đăng ký giao dịch,17/10/2023,,Cá nhân chuyên nghiệp; Tổ chức chuyên nghiệp
4,ABB12501,ABB12501,VN0ABB125012,Ngân hàng TMCP An Bình (ABBANK),"1,000,000,000",700,Đăng ký giao dịch,09/06/2025,,Tổ chức chuyên nghiệp
5,ABB12502,ABB12502,VN0ABB125020,Ngân hàng TMCP An Bình (ABBANK),"1,000,000,000","1,000",Đăng ký giao dịch,09/06/2025,,Tổ chức chuyên nghiệp
6,ABB12503,ABB12503,VN0ABB125038,Ngân hàng TMCP An Bình (ABBANK),"1,000,000,000",400,Đăng ký giao dịch,09/06/2025,,Tổ chức chuyên nghiệp
7,ABB12505,ABB12505,VN0ABB125053,Ngân hàng TMCP An Bình (ABBANK),"1,000,000,000",500,Đăng ký giao dịch,18/06/2025,,Tổ chức chuyên nghiệp
8,ABB12506,ABB12506,VN0ABB125061,Ngân hàng TMCP An Bình (ABBANK),"1,000,000,000",700,Đăng ký giao dịch,18/06/2025,,Tổ chức chuyên nghiệp
9,ABB12507,ABB12507,VN0ABB125079,Ngân hàng TMCP An Bình (ABBANK),"1,000,000,000","1,000",Đăng ký giao dịch,18/06/2025,,Tổ chức chuyên nghiệp
10,ABB12508,ABB12508,VN0ABB125087,Ngân hàng TMCP An Bình (ABBANK),"1,000,000,000","2,000",Đăng ký giao dịch,18/06/2025,,Tổ chức chuyên nghiệp
11,ABB12509,ABB12509,VN0ABB125095,Ngân hàng TMCP An Bình (ABBANK),"1,000,000,000","1,000",Đăng ký giao dịch,30/06/2025,,Tổ chức chuyên nghiệp
12,ABB12510,ABB12510,VN0ABB125103,Ngân hàng TMCP An Bình (ABBANK),"1,000,000,000",500,Đăng ký giao dịch,10/07/2025,,Tổ chức chuyên nghiệp
13,ABB12511,ABB12511,VN0ABB125111,Ngân hàng TMCP An Bình (ABBANK),"1,000,000,000","1,000",Đăng ký giao dịch,14/07/2025,,Tổ chức chuyên nghiệp
14,ABB12512,ABB12512,VN0ABB125129,Ngân hàng TMCP An Bình (ABBANK),"1,000,000,000","1,000",Đăng ký giao dịch,05/09/2025,,Tổ chức chuyên nghiệp
15,ABB12513,ABB12513,VN0ABB125137,Ngân hàng TMCP An Bình (ABBANK),"1,000,000,000",450,Đăng ký giao dịch,18/11/2025,,Tổ chức chuyên nghiệp
16,ABB12514,ABB12514,VN0ABB125145,Ngân hàng TMCP An Bình (ABBANK),"1,000,000,000",50,Đăng ký giao dịch,28/11/2025,,Tổ chức chuyên nghiệp
17,ABB12515,ABB12515,VN0ABB125152,Ngân hàng TMCP An Bình (ABBANK),"1,000,000,000",300,Đăng ký giao dịch,29/12/2025,,Cá nhân chuyên nghiệp; Tổ chức chuyên nghiệp
18,ABB12516,ABB12516,VN0ABB125160,Ngân hàng TMCP An Bình (ABBANK),"1,000,000,000","2,600",Đăng ký giao dịch,05/01/2026,,Tổ chức chuyên nghiệp
19,ABB12517,ABB12517,VN0ABB125178,Ngân hàng TMCP An Bình (ABBANK),"1,000,000,000",600,Đăng ký giao dịch,05/01/2026,,Cá nhân chuyên nghiệp; Tổ chức chuyên nghiệp
20,ABBL2225001,ABB12201,VN0ABB122019,Ngân hàng TMCP An Bình (ABBANK),"1,000,000,000",0,Đã hủy ĐKGD,20/10/2023,06/05/2024,Cá nhân chuyên nghiệp; Tổ chức chuyên nghiệp
