article_id,ngay_dang_tin,nguon,tieu_de,tinh_trang
1601,03/07/2026,Sở Giao dịch Chứng khoán Hà Nội,BẢN TIN THỊ TRƯỜNG TRÁI PHIẾU DOANH NGHIỆP RIÊNG LẺ THÁNG 06/2026,Hiệu lực
1581,08/06/2026,Sở Giao dịch Chứng khoán Hà Nội,BẢN TIN THỊ TRƯỜNG TRÁI PHIẾU DOANH NGHIỆP RIÊNG LẺ THÁNG 05/2026,Hiệu lực
1561,05/05/2026,Sở Giao dịch Chứng khoán Hà Nội,BẢN TIN THỊ TRƯỜNG TRÁI PHIẾU DOANH NGHIỆP RIÊNG LẺ THÁNG 04/2026,Hiệu lực
1541,07/04/2026,Sở Giao dịch Chứng khoán Hà Nội,BẢN TIN THỊ TRƯỜNG TRÁI PHIẾU DOANH NGHIỆP RIÊNG LẺ THÁNG 03/2026,Hiệu lực
1521,09/03/2026,Sở Giao dịch Chứng khoán Hà Nội,BẢN TIN THỊ TRƯỜNG TRÁI PHIẾU DOANH NGHIỆP RIÊNG LẺ THÁNG 02/2026,Hiệu lực
1502,06/02/2026,Sở Giao dịch Chứng khoán Hà Nội,BẢN TIN THỊ TRƯỜNG TRÁI PHIẾU DOANH NGHIỆP RIÊNG LẺ THÁNG 01/2026,Hiệu lực
1481,29/01/2026,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty Cổ phần Chứng khoán SmartMind với tư cách Đại diện Người sở hữu trái phiếu về sự kiện vi phạm của Tổ chức phát hành mã trái phiếu SSHCH2123002,Hiệu lực
1461,23/01/2026,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty Cổ phần Chứng khoán Tiên Phong với tư cách Đại diện Người sở hữu trái phiếu về sự kiện vi phạm của Tổ chức phát hành mã trái phiếu H79CH2124018,Hiệu lực
1441,15/01/2026,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty Cổ phần Chứng khoán Tiên Phong với tư cách Đại diện Người sở hữu trái phiếu về sự kiện vi phạm của Tổ chức phát hành mã trái phiếu RHGCH2124006,Hiệu lực
1421,12/01/2026,Sở Giao dịch Chứng khoán Hà Nội,"Báo cáo của Công ty Cổ phần Chứng khoán Thành Công, với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Tổ chức phát hành mã Trái phiếu GPRCH2123001",Hiệu lực
1401,08/01/2026,Sở Giao dịch Chứng khoán Hà Nội,"Báo cáo của Công ty cổ phần Chứng khoán Tân Việt với tư cách là Đại lý Đăng ký, Lưu ký, Đại lý thanh toán và đại diện Người sở hữu trái phiếu về việc vi phạm của Tổ chức phát hành mã trái phiếu NPECH2126001, NPECH2128002 và NPECH2229001",Hiệu lực
1381,06/01/2026,Sở Giao dịch Chứng khoán Hà Nội,BẢN TIN THỊ TRƯỜNG TRÁI PHIẾU DOANH NGHIỆP RIÊNG LẺ THÁNG 12/2025,Hiệu lực
1363,31/12/2025,Sở Giao dịch Chứng khoán Hà Nội,"Báo cáo của Công ty Cổ phần Chứng khoán VNDIRECT, với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Tổ chức phát hành mã trái phiếu CRB12501",Hiệu lực
1362,30/12/2025,Sở Giao dịch Chứng khoán Hà Nội,BẢN TIN THỊ TRƯỜNG TRÁI PHIẾU DOANH NGHIỆP RIÊNG LẺ THÁNG 11/2025,Hiệu lực
1361,30/12/2025,Sở Giao dịch Chứng khoán Hà Nội,"Báo cáo của Công ty cổ phần Chứng khoán Tân Việt với tư cách là Đại lý Đăng ký, Lưu ký, Đại lý thanh toán và đại diện Người sở hữu trái phiếu về việc vi phạm của Tổ chức phát hành mã trái phiếu BBSP.H.20.23.001",Hiệu lực
1341,24/12/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty Cổ phần Chứng khoán Tiên Phong với tư cách Đại diện Người sở hữu trái phiếu về sự kiện vi phạm của Tổ chức phát hành mã trái phiếu TNECH2227001,Hiệu lực
1321,05/12/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty Cổ phần Chứng khoán Tiên Phong với tư cách Đại diện Người sở hữu trái phiếu về sự kiện vi phạm của Tổ chức phát hành mã trái phiếu ATICH2429002,Hiệu lực
1301,02/12/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty Cổ phần Chứng khoán Dầu khí với tư cách đại diện Người sở hữu TP về sự kiện vi phạm của Tổ chức phát hành mã trái phiếu UNICH2124002,Hiệu lực
1281,11/11/2025,Sở Giao dịch Chứng khoán Hà Nội,BẢN TIN THỊ TRƯỜNG TRÁI PHIẾU DOANH NGHIỆP RIÊNG LẺ THÁNG 10/2025,Hiệu lực
1262,10/11/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty Cổ phần Chứng khoán Dầu khí với tư cách đại diện Người sở hữu TP về sự kiện vi phạm của Tổ chức phát hành mã trái phiếu Nova Final Solution.Bond.2019,Hiệu lực
1261,10/11/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty Cổ phần Chứng khoán Dầu khí với tư cách đại diện Người sở hữu trái phiếu về sự kiện vi phạm của Tổ chức phát hành mã trái phiếu UNICH2124001,Hiệu lực
