stt,ngay_dang_tin,ten_dn,ma_tp,tien_te,ky_han,ngay_phat_hanh,ngay_dao_han,ky_han_con_lai,khoi_luong,menh_gia,loai_hinh_tra_lai,loai_lai_suat,pt_thanh_toan_lai,mua_lai_hoan_doi,thi_truong,lai_suat,tinh_trang,file_id,khoi_luong_num,menh_gia_num,lai_suat_num,gia_tri_phat_hanh
1,16/07/2026,HDB - NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),HDB12608,VNĐ,7 Năm,10/07/2026,10/07/2033,2550 ngày,"10,000","100,000,000",Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,8.5,Hiệu lực,12558.0,10000.0,100000000.0,8.5,1000000000000.0
2,16/07/2026,HDB - NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),HDB12607,VNĐ,6 Năm,09/07/2026,09/07/2032,2184 ngày,"5,000","100,000,000",Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,9,Hiệu lực,12557.0,5000.0,100000000.0,9.0,500000000000.0
3,15/07/2026,HDB - NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),HDB12606,VNĐ,6 Năm,07/07/2026,07/07/2032,2182 ngày,"2,000","100,000,000",Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,8.6,Hiệu lực,12537.0,2000.0,100000000.0,8.6,200000000000.0
4,14/07/2026,VCB - NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM,VCB12603,VNĐ,10 Năm,06/07/2026,06/07/2036,3642 ngày,100,"1,000,000,000",Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,7.9,Hiệu lực,12518.0,100.0,1000000000.0,7.9,100000000000.0
5,13/07/2026,ASPC - CÔNG TY TNHH CÔNG VIÊN CHÂU Á,ASP12601,VNĐ,5 Năm,29/06/2026,29/06/2031,1808 ngày,"20,000","100,000,000",Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,9.5,Hiệu lực,12517.0,20000.0,100000000.0,9.5,2000000000000.0
6,13/07/2026,VHM - CTCP VINHOMES,VHM12614,VNĐ,36 Tháng,10/07/2026,10/07/2029,1089 ngày,"10,000","100,000,000",Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,12.5,Hiệu lực,12498.0,10000.0,100000000.0,12.5,1000000000000.0
7,13/07/2026,VHM - CTCP VINHOMES,VHM12613,VNĐ,36 Tháng,10/07/2026,10/07/2029,1089 ngày,"20,000","100,000,000",Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,12.5,Hiệu lực,12497.0,20000.0,100000000.0,12.5,2000000000000.0
8,13/07/2026,NAB - Ngân hàng Thương mại Cổ phần Nam Á,NAB12605,VNĐ,7 Năm,30/06/2026,30/06/2033,2540 ngày,400,"1,000,000,000",Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,9,Hiệu lực,12478.0,400.0,1000000000.0,9.0,400000000000.0
9,10/07/2026,TOT - CÔNG TY CỔ PHẦN TRANSIMEX LOGISTICS,TOT12601,VNĐ,3 Năm,03/07/2026,03/07/2029,1082 ngày,"1,000","100,000,000",Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,9.5,Hiệu lực,12477.0,1000.0,100000000.0,9.5,100000000000.0
10,10/07/2026,STB - Ngân hàng thương mại cổ phần Sài Gòn Tài Lộc (Tên cũ: Ngân hàng Thương mại Cổ Phần Sài Gòn Thương Tín),STB12605,VNĐ,6 Năm,30/06/2026,30/06/2032,2175 ngày,"4,500","1,000,000,000",Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,9.2,Hiệu lực,12459.0,4500.0,1000000000.0,9.2,4500000000000.0
11,10/07/2026,LPB - Ngân hàng Thương mại Cổ phần Lộc Phát Việt Nam (tên cũ: Ngân hàng Thương mại cổ phần Bưu Điện Liên Việt),LPB12608,VNĐ,3 Năm,30/06/2026,30/06/2029,1079 ngày,"3,000","1,000,000,000",Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,8.6,Hiệu lực,12458.0,3000.0,1000000000.0,8.6,3000000000000.0
12,09/07/2026,HCVC - CÔNG TY TÀI CHÍNH TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN HOME CREDIT VIỆT NAM,HCV12604,VNĐ,36 Tháng,29/06/2026,29/06/2029,1078 ngày,500,"1,000,000,000",Coupon,Kết hợp,Định kỳ - Cuối kỳ,None,,9.8,Hiệu lực,12440.0,500.0,1000000000.0,9.8,500000000000.0
13,10/07/2026,VEVC - CÔNG TY TNHH VERDANT VIETNAM CRYSTAL,VEV12601,VNĐ,15 Năm,23/06/2026,23/06/2041,5455 ngày,"2,246","100,000,000",Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,6.95,Hiệu lực,12439.0,2246.0,100000000.0,6.95,224600000000.0
14,07/07/2026,P53C - CÔNG TY TNHH PARKLAND 53,P5332601,VNĐ,12 Tháng,30/06/2026,30/06/2027,348 ngày,"70,000","100,000,000",Coupon,Cố định,Một lần khi đến hạn,Mua lại,,10,Hiệu lực,12423.0,70000.0,100000000.0,10.0,7000000000000.0
15,08/07/2026,VEBC - CÔNG TY TNHH VERDANT VIETNAM BRAVO,VEB12601,VNĐ,15 Năm,23/06/2026,23/06/2041,5455 ngày,"1,654","100,000,000",Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,6.95,Hiệu lực,12421.0,1654.0,100000000.0,6.95,165400000000.0
16,08/07/2026,STB - Ngân hàng thương mại cổ phần Sài Gòn Tài Lộc (Tên cũ: Ngân hàng Thương mại Cổ Phần Sài Gòn Thương Tín),STB12604,VNĐ,2 Năm,29/06/2026,29/06/2028,713 ngày,"2,500","1,000,000,000",Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,8.6,Hiệu lực,12420.0,2500.0,1000000000.0,8.6,2500000000000.0
17,08/07/2026,STB - Ngân hàng thương mại cổ phần Sài Gòn Tài Lộc (Tên cũ: Ngân hàng Thương mại Cổ Phần Sài Gòn Thương Tín),STB12602,VNĐ,2 Năm,23/06/2026,23/06/2028,707 ngày,"2,500","1,000,000,000",Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,8.6,Hiệu lực,12419.0,2500.0,1000000000.0,8.6,2500000000000.0
18,08/07/2026,TPB - Ngân hàng Thương mại cổ phần Tiên Phong,TPB12604,VNĐ,10 Năm,30/06/2026,30/06/2036,3636 ngày,500,"100,000,000",Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,9,Hiệu lực,12417.0,500.0,100000000.0,9.0,50000000000.0
19,07/07/2026,HULC - Công ty cổ phần phát triển Bất động sản Hưng Long,HUL32601,VNĐ,12 Tháng,30/06/2026,30/06/2027,348 ngày,"70,000","100,000,000",Coupon,Cố định,Một lần khi đến hạn,Mua lại,,10,Hiệu lực,12408.0,70000.0,100000000.0,10.0,7000000000000.0
20,08/07/2026,TPB - Ngân hàng Thương mại cổ phần Tiên Phong,TPB12603,VNĐ,10 Năm,29/06/2026,29/06/2036,3635 ngày,"3,500","100,000,000",Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,9.4,Hiệu lực,12406.0,3500.0,100000000.0,9.4,350000000000.0
21,06/07/2026,IHPC - CÔNG TY TNHH HƯNG PHÁT INVEST HÀ NỘI,IHP32602,VNĐ,12 Tháng,30/06/2026,30/06/2027,348 ngày,"50,000","100,000,000",Coupon,Cố định,Một lần khi đến hạn,Mua lại,,10,Hiệu lực,12405.0,50000.0,100000000.0,10.0,5000000000000.0
22,06/07/2026,IHPC - CÔNG TY TNHH HƯNG PHÁT INVEST HÀ NỘI,IHP12601,VNĐ,60 Tháng,30/06/2026,30/06/2031,1809 ngày,"43,000","100,000,000",Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,10.6,Hiệu lực,12404.0,43000.0,100000000.0,10.6,4300000000000.0
23,06/07/2026,HDB - NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),HDB12605,VNĐ,5 Năm,30/06/2026,30/06/2031,1809 ngày,750,"1,000,000,000",Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,8.3,Hiệu lực,12403.0,750.0,1000000000.0,8.3,750000000000.0
24,08/07/2026,STB - Ngân hàng thương mại cổ phần Sài Gòn Tài Lộc (Tên cũ: Ngân hàng Thương mại Cổ Phần Sài Gòn Thương Tín),STB12603,VNĐ,3 Năm,26/06/2026,26/06/2029,1075 ngày,"2,000","1,000,000,000",Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,8.5,Hiệu lực,12402.0,2000.0,1000000000.0,8.5,2000000000000.0
25,06/07/2026,STB - Ngân hàng thương mại cổ phần Sài Gòn Tài Lộc (Tên cũ: Ngân hàng Thương mại Cổ Phần Sài Gòn Thương Tín),STB12601,VNĐ,3 Năm,23/06/2026,23/06/2029,1072 ngày,"1,800","1,000,000,000",Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,8.5,Hiệu lực,12399.0,1800.0,1000000000.0,8.5,1800000000000.0
26,07/07/2026,MBB - NGÂN HÀNG TMCP QUÂN ĐỘI,MBB12618,VNĐ,5 Năm,29/06/2026,29/06/2031,1808 ngày,"5,000","100,000,000",Coupon,Cố định,Định kỳ - Cuối kỳ,None,,8.3,Hiệu lực,12397.0,5000.0,100000000.0,8.3,500000000000.0
27,06/07/2026,NAB - Ngân hàng Thương mại Cổ phần Nam Á,NAB12604,VNĐ,7 Năm,11/06/2026,11/06/2033,2521 ngày,499,"1,000,000,000",Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,8.5,Hiệu lực,12380.0,499.0,1000000000.0,8.5,499000000000.0
28,06/07/2026,LPB - Ngân hàng Thương mại Cổ phần Lộc Phát Việt Nam (tên cũ: Ngân hàng Thương mại cổ phần Bưu Điện Liên Việt),LPB12607,VNĐ,3 Năm,24/06/2026,24/06/2029,1073 ngày,"2,000","1,000,000,000",Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,8.6,Hiệu lực,12379.0,2000.0,1000000000.0,8.6,2000000000000.0
