article_id,ngay_dang_tin,ten_dn,ma_tp,tieu_de,ghi_chu,tinh_trang,file_id,loai_su_kien
32917,17/07/2026,CTCP Hưng Thịnh Land,H79CH2223001,CTCP Hưng Thịnh Land CBTT bất thường - về việc: thanh toán gốc lãi sau khi chậm thanh toán,,Hiệu lực,32917.0,khac_phuc
32872,16/07/2026,CTCP Dịch vụ Giải trí Hưng Thịnh Quy Nhơn,HQNCH2124005,"CTCP Dịch vụ Giải trí Hưng Thịnh Quy Nhơn CBTT bất thường - về việc: thực hiện thanh toán gốc, lãi trái phiếu sau thời gian bị chậm thanh toán",,Hiệu lực,32872.0,khac_phuc
32867,15/07/2026,Công ty TNHH Đầu tư Big Gain,BGICH2124002,"Công ty TNHH Đầu tư Big Gain CBTT bất thường - về việc: thay đổi điều khoản, điều kiện của trái phiếu mã BGICH2124002",,Hiệu lực,32867.0,
32871,15/07/2026,Công ty Cổ phần Bông Sen,BSECH2126003,"Công ty Cổ phần Bông Sen CBTT bất thường - về việc: chậm thanh toán gốc, lãi trái phiếu",,Hiệu lực,32871.0,cham_tra
32859,15/07/2026,CTCP chứng khoán Kỹ thương,"TCX12501,TCX12502,TCX12503,TCX12504,TCX12506",CTCP chứng khoán Kỹ thương CBTT bất thường - về việc: Nhận được quyết định của cơ quan có thẩm quyền về việc xử phạt vi phạm hành chính về thuế,,Hiệu lực,32859.0,
32861,15/07/2026,Công ty Cổ phần Hưng Thịnh Investment,H39CH2122001,"CBTT bất thường - về việc: thanh toán gốc, lãi trái phiếu sau thời gian bị chậm thanh toán",,Hiệu lực,32861.0,khac_phuc
32857,15/07/2026,Công ty Cổ phần Hưng Thịnh Investment,H39CH2122001,"CBTT bất thường - về việc: thanh toán gốc, lãi sau thời gian bị chậm thanh toán",,Hiệu lực,32857.0,khac_phuc
32807,10/07/2026,CTCP Hưng Thịnh Land,HTL-H2023-010,CBTT tình hình thanh toán trái phiếu,,Hiệu lực,32807.0,
32781,09/07/2026,Công ty TNHH Phát triển Kinh doanh Xây dựng 3,XD3CH2328001,"Công ty TNHH Phát triển Kinh doanh Xây dựng 3 CBTT bất thường - về việc:tình hình thanh toán gốc, lãi",,Hiệu lực,32781.0,
32792,09/07/2026,CTCP Hưng Thịnh Land,HTL-H2023-010,CBTT tình hình thanh toán trái phiếu,,Hiệu lực,32792.0,
32793,09/07/2026,CTCP Hưng Thịnh Land,H79CH2124018,CTCP Hưng Thịnh Land CBTT bất thường - về việc: Công bố thông tin về tình hình thanh toán lãi trái phiếu H79CH2124018 sau khi chậm thanh toán,,Hiệu lực,32793.0,khac_phuc
32749,06/07/2026,Công ty TNHH Đầu tư Big Gain,BGICH2125003,"Công ty TNHH Đầu tư Big Gain CBTT bất thường - về việc: Công bố thông tin về tình hình thanh toán bổ sung gốc, lãi – mã BGICH2125003",,Hiệu lực,32749.0,
32727,06/07/2026,CTCP Hưng Thịnh Land,H79CH2223001,CTCP Hưng Thịnh Land CBTT bất thường - về việc: tình hình thanh toán gốc trái phiếu,,Hiệu lực,32727.0,
32704,03/07/2026,CÔNG TY CỔ PHẦN TẬP ĐOÀN PC1,PC1H2227002,CÔNG TY CỔ PHẦN TẬP ĐOÀN PC1 CBTT bất thường - về việc: mua lại trái phiếu trước hạn,,Hiệu lực,32704.0,
32685,02/07/2026,CTCP Đầu tư và Du lịch Vạn Hương,DRGCH2427003,CTCP Đầu tư và Du lịch Vạn Hương CBTT bất thường - về việc: Thay đổi điều khoản điều chỉnh lãi suất trái phiếu,,Hiệu lực,32685.0,
32686,02/07/2026,CTCP Đầu tư và Du lịch Vạn Hương,DRT12502,CTCP Đầu tư và Du lịch Vạn Hương CBTT bất thường - về việc: Thay đổi điều khoản điều chỉnh lãi suất trái phiếu,,Hiệu lực,32686.0,
32665,02/07/2026,CTCP Đầu tư và Du lịch Vạn Hương,DRT12501,CTCP Đầu tư và Du lịch Vạn Hương CBTT bất thường - về việc: Thay đổi điều khoản điều chỉnh lãi suất,,Hiệu lực,32665.0,
32689,02/07/2026,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,,"Ngân hàng TMCP Đầu tư và Phát triển Việt Nam CBTT bất thường - về việc:thay đổi, bổ nhiệm mới người đại diện theo pháp luật",,Hiệu lực,32689.0,
