stt,ma_tp,tien_te,ten_dn,menh_gia,ky_han,ky_han_con_lai,ngay_phat_hanh,ngay_dao_han,pt_tra_lai,ky_han_tra_lai,kl_phat_hanh,kl_con_luu_hanh,to_chuc_luu_ky,lai_suat,doi_tuong_chao_ban,dv_xhtn,kq_xhtn,ngay_hieu_luc,tai_lieu,tc_ben_vung,dv_danh_gia,tinh_trang,menh_gia_num,kl_phat_hanh_num,kl_con_luu_hanh_num,lai_suat_num
1,01_BOND_2020,VNĐ,Công ty cổ phần Điện Gia Lai,"100,000,000",2 Năm,,29/09/2020,29/09/2022,Định kỳ - Cuối kỳ,6 Tháng,"2,000",,Công ty cổ phần Chứng khoán Vietcap,10.5,,,,,,,,Hết lưu hành,100000000.0,2000.0,,10.5
2,01/TASECO.BOND,VNĐ,CTCP TẬP ĐOÀN TASECO (tên cũ: CTCP DỊCH VỤ HÀNG KHÔNG THĂNG LONG ),"100,000,000",1 Năm,,23/08/2019,23/08/2020,Định kỳ - Cuối kỳ,6 Tháng,500,0,Công ty cổ phần Chứng khoán SSI,10.5,,,,,,,,Hết lưu hành,100000000.0,500.0,0.0,10.5
3,0100100456-HEM-03.2019,VNĐ,CTCP CHẾ TẠO ĐIỆN CƠ HÀ NỘI,"100,000,000",1 Năm,,07/03/2019,07/03/2020,Định kỳ - Cuối kỳ,6 Tháng,"2,000",0,Công ty cổ phần Chứng khoán Thành Công,10.5,,,,,,,,Hết lưu hành,100000000.0,2000.0,0.0,10.5
4,017H2025001,VNĐ,Công ty TNHH MTV 17,"100,000,000",5 Năm,,31/12/2020,31/12/2025,Định kỳ - Cuối kỳ,1 Tháng,500,0,Ngân hàng Thương mại Cổ phần Quân Đội,7.5,,,,,,,,Hết lưu hành,100000000.0,500.0,0.0,7.5
5,01THEVUONG.BOND.2020,VNĐ,Công ty TNHH Thế Vượng,"1,000,000,000",1 Năm,,20/03/2020,20/03/2021,Định kỳ - Cuối kỳ,6 Tháng,50,0,Công ty Cổ phần Chứng khoán Phú Hưng,8,,,,,,,,Hết lưu hành,1000000000.0,50.0,0.0,8.0
6,02THEVUONG.BOND.2020,VNĐ,Công ty TNHH Thế Vượng,"1,000,000,000",1 Năm,,28/12/2020,28/12/2021,Định kỳ - Cuối kỳ,6 Tháng,85,0,Công ty Cổ phần Chứng khoán Phú Hưng,9.5,,,,,,,,Hết lưu hành,1000000000.0,85.0,0.0,9.5
7,12092017-01,VNĐ,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ KỸ THUẬT VNCN E&C,"1,000,000,000",5 Năm,,12/09/2017,12/09/2022,Định kỳ - Cuối kỳ,6 Tháng,300,0,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,10.5,,,,,,,,Hết lưu hành,1000000000.0,300.0,0.0,10.5
8,25062018-01,VNĐ,Tổng Công ty Đầu tư Phát triển nhà và đô thị - Công ty TNHH,"1,000,000,000",5 Năm,,25/06/2018,25/06/2023,Định kỳ - Cuối kỳ,6 Tháng,500,0,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,10.9,,,,,,,,Hết lưu hành,1000000000.0,500.0,0.0,10.9
9,30122017-01,VNĐ,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,"1,000,000,000",5 Năm,,30/12/2017,30/12/2022,Định kỳ - Cuối kỳ,6 Tháng,134,0,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,10,,,,,,,,Hết lưu hành,1000000000.0,134.0,0.0,10.0
10,3CICH2124001,VNĐ,Công ty Cổ phần Máy tính - Truyền thông - Điều khiển 3C,"100,000,000",5 Năm,36 ngày,27/08/2021,27/08/2026,Định kỳ - Cuối kỳ,1 Năm,"2,300","1,174",Tổng công ty Lưu ký và Bù trừ Chứng khoán Việt Nam,9,Cá nhân chuyên nghiệp; Tổ chức chuyên nghiệp,,,,,,,Lưu hành một phần,100000000.0,2300.0,1174.0,9.0
11,492H2025001,VNĐ,Công ty TNHH MTV 492,"100,000,000",5 Năm,,30/12/2020,30/12/2025,Định kỳ - Cuối kỳ,1 Tháng,600,0,Ngân hàng Thương mại Cổ phần Quân Đội,7.5,,,,,,,,Hết lưu hành,100000000.0,600.0,0.0,7.5
12,80A,VNĐ,CÔNG TY TNHH MẶT TRỜI CẨM PHẢ,"100,000",60 Tháng,,30/12/2019,30/12/2024,Định kỳ - Cuối kỳ,3 Tháng,"723,000",0,Công ty cổ phần Chứng khoán VPBank,10,,,,,,,,Hết lưu hành,100000.0,723000.0,0.0,10.0
13,80B,VNĐ,CÔNG TY TNHH MẶT TRỜI CẨM PHẢ,"100,000",60 Tháng,,27/03/2020,30/12/2024,Định kỳ - Cuối kỳ,3 Tháng,"723,000",0,Công ty cổ phần Chứng khoán VPBank,10,,,,,,,,Hết lưu hành,100000.0,723000.0,0.0,10.0
14,930_HAGL_2016,VNĐ,Công ty cổ phần Hoàng Anh Gia Lai,"1,000,000,000",7 Năm,,29/12/2016,29/12/2023,Định kỳ - Cuối kỳ,3 Tháng,930,,Công ty cổ phần Chứng khoán HD,10,,,,,,,,Hết lưu hành,1000000000.0,930.0,,10.0
15,AAAH1821001,VNĐ,Công ty cổ phần Nhựa An Phát Xanh,"1,000,000,000",3 Năm,,08/11/2018,08/11/2021,Định kỳ - Cuối kỳ,6 Tháng,400,0,Ngân hàng TNHH MTV Shinhan Việt Nam,6.7,,,,,,,,Hết lưu hành,1000000000.0,400.0,0.0,6.7
16,AAAH2124001,VNĐ,Công ty cổ phần Nhựa An Phát Xanh,"1,000,000,000",3 Năm,,19/11/2021,19/11/2024,Định kỳ - Cuối kỳ,6 Tháng,470,0,Tổng công ty Lưu ký và Bù trừ Chứng khoán Việt Nam,8,Cá nhân chuyên nghiệp; Tổ chức chuyên nghiệp,,,,,,,Hết lưu hành,1000000000.0,470.0,0.0,8.0
17,AAC.H.20.25.001,VNĐ,CTCP xây dựng kiến trúc AA,"100,000,000",5 Năm,,02/12/2020,02/12/2025,Định kỳ - Cuối kỳ,3 Tháng,"2,500",0,Ngân hàng Thương mại Cổ phần Quân Đội,9.8,,,,,,,,Hết lưu hành,100000000.0,2500.0,0.0,9.8
18,AACCH2125001,VNĐ,CTCP xây dựng kiến trúc AA,"100,000,000",1681 Ngày,,26/04/2021,02/12/2025,Định kỳ - Cuối kỳ,90 Ngày,500,,Ngân hàng Thương mại Cổ phần Quân Đội,9.8,,,,,,,,Hết lưu hành,100000000.0,500.0,,9.8
19,AAS.1.20,VNĐ,Công ty Cổ phần Chứng khoán SmartInvest,"1,000,000",2 Năm,,15/09/2020,15/09/2022,Khác,6 Tháng,"10,000",0,Công ty cổ phần Chứng khoán SmartInvest,11.2,,,,,,,,Hết lưu hành,1000000.0,10000.0,0.0,11.2
20,AASH2227001,VNĐ,Công ty Cổ phần Chứng khoán SmartInvest,"1,000,000",5 Năm,211 ngày,18/02/2022,18/02/2027,Định kỳ - Cuối kỳ,12 Tháng,"127,988",,Tổng công ty Lưu ký và Bù trừ Chứng khoán Việt Nam,10.5,Cá nhân chuyên nghiệp; Tổ chức chuyên nghiệp,,,,,,,Hết lưu hành,1000000.0,127988.0,,10.5
21,AASL1921001,VNĐ,Công ty Cổ phần Chứng khoán SmartInvest,"50,000,000",2 Năm,,08/10/2019,08/10/2021,Định kỳ - Cuối kỳ,6 Tháng,"1,000",,Công ty cổ phần Chứng khoán SmartInvest,11,,,,,,,,Hết lưu hành,50000000.0,1000.0,,11.0
22,ABA_BOND_2019,VNĐ,CTCP giải pháp thương mại ABA,"100,000",3 Năm,,30/07/2019,29/07/2022,Một lần khi đến hạn,3 Tháng,"1,398,000",,Công ty cổ phần Chứng khoán Bảo Việt,9,,,,,,,,Hết lưu hành,100000.0,1398000.0,,9.0
23,ABB12501,VNĐ,Ngân hàng TMCP An Bình (ABBANK),"1,000,000,000",3 Năm,641 ngày,23/04/2025,23/04/2028,Định kỳ - Cuối kỳ,1 Năm,700,,Tổng công ty Lưu ký và Bù trừ Chứng khoán Việt Nam,6,Tổ chức chuyên nghiệp,,,,,,,Hết lưu hành,1000000000.0,700.0,,6.0
24,ABB12502,VNĐ,Ngân hàng TMCP An Bình (ABBANK),"1,000,000,000",2 Năm,276 ngày,24/04/2025,24/04/2027,Định kỳ - Cuối kỳ,1 Năm,"1,000",,Tổng công ty Lưu ký và Bù trừ Chứng khoán Việt Nam,5.8,Tổ chức chuyên nghiệp,,,,,,,Hết lưu hành,1000000000.0,1000.0,,5.8
25,ABB12503,VNĐ,Ngân hàng TMCP An Bình (ABBANK),"1,000,000,000",2 Năm,277 ngày,25/04/2025,25/04/2027,Định kỳ - Cuối kỳ,1 Năm,400,,Tổng công ty Lưu ký và Bù trừ Chứng khoán Việt Nam,5.7,Tổ chức chuyên nghiệp,,,,,,,Hết lưu hành,1000000000.0,400.0,,5.7
