article_id,ngay_dang_tin,ten_dn,ma_tp,tieu_de,ghi_chu,tinh_trang,loai_su_kien
32969,22/07/2026,Công ty TNHH Tư vấn Đầu tư Nguyên Bình,NBCCH2124003,"Công bố thông tin về tình hình thanh toán gốc, lãi – Mã NBCCH2124003",,Hiệu lực,
32954,21/07/2026,Công ty cổ phần Thành Thành công - Biên Hòa,SBTH2427001,Công ty Cổ Phần Thành Thành Công - Biên Hòa CBTT về lãi suất thực tế áp dụng cho kỳ tính lãi thứ 05 - mã trái phiếu SBT12401,,Hiệu lực,ls_thuc_te
32942,21/07/2026,Ngân hàng TMCP Phương Đông,OCB12512,"Công bố thông tin về tình hình thực hiện đầy đủ nghĩa vụ với nhà đầu tư, bao gồm việc thanh toán đầy đủ lãi, gốc trái phiếu tại ngày mua lại trái phiếu doanh nghiệp trước hạn (mã trái phiếu: OCB12512)",,Hiệu lực,mua_lai
32947,21/07/2026,Công ty TNHH Phát triển Kinh doanh Xây dựng 3,XD3CH2328001,Công ty TNHH Phát triển Kinh doanh Xây Dựng 3 - Công bố thông tin bổ sung về tình hình thanh toán lãi,,Hiệu lực,tt_bo_sung
32944,21/07/2026,Công ty TNHH Đầu tư Big Gain,BGICH2124002,Công ty TNHH Đầu tư Big Gain - CBTT thanh toán bổ sung trái phiếu mã BGICH2124002,,Hiệu lực,tt_bo_sung
32915,20/07/2026,CTCP Dịch vụ Giải trí Hưng Thịnh Quy Nhơn,HQNCH2124005,"Công bố thông tin về tình hình thanh toán gốc, lãi trái phiếu không còn dư nợ",,Hiệu lực,tat_toan
32911,17/07/2026,CTCP ĐẦU TƯ VÀ XÂY DỰNG SUNRISE VIỆT NAM,SRSCH2024001,CTCP Đầu tư và Xây dựng Sunrise v/v: Công bố thông tin về tình hình thanh toán gốc lãi trái phiếu tại ngày trái phiếu không còn dư nợ,,Hiệu lực,tat_toan
32909,16/07/2026,CÔNG TY TNHH MẶT TRỜI HẠ LONG,SHL12502,Công bố thông tin về lãi suất thực tế áp dụng cho kỳ tính lãi trái phiếu SHL12502,,Hiệu lực,ls_thuc_te
32908,16/07/2026,CÔNG TY TNHH MẶT TRỜI HẠ LONG,SHL12501,Công bố thông tin về lãi suất thực tế áp dụng cho kỳ tính lãi trái phiếu SHL12501,,Hiệu lực,ls_thuc_te
32910,16/07/2026,CÔNG TY TNHH MẶT TRỜI HẠ LONG,SHL12503,Công bố thông tin về lãi suất thực tế áp dụng cho kỳ tính lãi trái phiếu SH12503,,Hiệu lực,ls_thuc_te
32848,14/07/2026,Công ty cổ phần kinh doanh F88,F8812504,"Công bố thông tin về tình hình thanh toán gốc, lãi trái phiếu F8812504",,Hiệu lực,
32852,14/07/2026,Công ty TNHH Xây dựng và Phát triển Hoàng Long,HLCCH2124003,"Công bố thông tin về tình hình thanh toán gốc, lãi – Mã HLCCH2124003",,Hiệu lực,
32819,14/07/2026,CTCP chứng khoán Kỹ thương,TCX12503,"Báo cáo về hoàn thành việc thanh toán gốc, lãi trái phiếu TCX12503 tại ngày đáo hạn",,Hiệu lực,tat_toan
32812,14/07/2026,NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),HDBH2126008,"Ngân hàng TMCP Phát triển TP.HCM báo cáo thông tin về hoàn thành việc thanh toán gốc, lãi trái phiếu tại ngày đáo hạn (Mã HDBH2126008)",,Hiệu lực,tat_toan
32806,10/07/2026,Ngân hàng Thương mại Cổ phần Nam Á,NAB12502,"Công bố thông tin về tình hình thanh toán gốc, lãi trái phiếu không còn dư nợ",,Hiệu lực,tat_toan
32794,09/07/2026,CTCP Hưng Thịnh Land,H79CH2124018,"Công bố thông tin về tình hình thanh toán gốc, lãi trái phiếu H79CH2124018",,Hiệu lực,
32787,08/07/2026,CÔNG TY CỔ PHẦN TV - TM - DV ĐỊA ỐC HOÀNG QUÂN MÊKÔNG,HQMCH2328001,Báo cáo hoàn thành thanh toán lãi trái phiếu HQMCH2328001 sau khi chậm thanh toán,,Hiệu lực,khac_phuc
32750,08/07/2026,NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),HDBL2431002,"Công bố thông tin về tình hình thanh toán gốc, lãi tại ngày trái phiếu không còn dư nợ mã HDBL2431002",,Hiệu lực,tat_toan
32751,08/07/2026,NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),HDBL2431003,"Công bố thông tin về tình hình thanh toán gốc, lãi tại ngày trái phiếu không còn dư nợ mã HDBL2431003",,Hiệu lực,tat_toan
32758,08/07/2026,Ngân hàng Thương mại Cổ phần Nam Á,"NABL2330004,NABL2330005,NAB12501","Công bố thông tin về tình hình thanh toán gốc, lãi trái phiếu không còn dư nợ",,Hiệu lực,tat_toan
32748,06/07/2026,Công ty TNHH Đầu tư Big Gain,BGICH2125003,"Công bố thông tin về tình hình thanh toán bổ sung gốc, lãi – mã BGICH2125003",,Hiệu lực,tt_bo_sung
32738,06/07/2026,CÔNG TY TNHH MẶT TRỜI HẠ LONG,SHL12504,Công bố thông tin về lãi suất thực tế áp dụng cho kỳ tính lãi trái phiếu SHL12504,,Hiệu lực,ls_thuc_te
