stt,don_vi_xhtn,doi_tuong_xhtn,ma_tp,com_id,ten_tcph,ket_qua_xhtn,hieu_luc_tu_ngay,loai_xep_hang,file_id
1,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),Tổ chức phát hành,,MSGC,CTCP MAY- DIÊM SÀI GÒN,vnBBB-,19/08/2025,Dài hạn,765
2,Công ty cổ phần Xếp hạng Tín nhiệm Đầu tư Việt Nam (VIS Ratings),Tổ chức phát hành,,BSI,Công ty Cổ phần Chứng khoán BIDV,A+,17/12/2025,Dài hạn,1252
3,Công ty cổ phần Xếp hạng Tín nhiệm Đầu tư Việt Nam (VIS Ratings),Tổ chức phát hành,,TCOC,CTCP TẬP ĐOÀN TRƯỜNG HẢI,A-,24/12/2025,Dài hạn,1253
4,Công ty cổ phần Xếp hạng Tín nhiệm Đầu tư Việt Nam (VIS Ratings),Tổ chức phát hành,,BNCC,Công ty cổ phần dịch vụ cáp treo Bà Nà,BBB+,26/09/2025,Dài hạn,1096
5,Công ty cổ phần Xếp hạng Tín nhiệm Đầu tư Việt Nam (VIS Ratings),Tổ chức phát hành,,BNCC,Công ty cổ phần dịch vụ cáp treo Bà Nà,BBB+,26/09/2025,Dài hạn,1113
6,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),Tổ chức phát hành,,VDS,CTCP Chứng khoán Rồng Việt,vnBBB,02/01/2025,Dài hạn,331
7,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),Tổ chức phát hành,,VDS,CTCP Chứng khoán Rồng Việt,vnBBB,31/07/2025,Dài hạn,886
8,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),Tổ chức phát hành,,VDS,CTCP Chứng khoán Rồng Việt,vnBBB,31/01/2026,Dài hạn,1377
9,Công ty cổ phần FiinRatings (FiinRatings),Tổ chức phát hành,,MSB,Ngân hàng TMCP Hàng Hải Việt Nam,A,18/06/2025,Dài hạn,548
10,Moody's Ratings,Tổ chức phát hành,,MSB,Ngân hàng TMCP Hàng Hải Việt Nam,Ba3,26/11/2025,Dài hạn,1445
11,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),Tổ chức phát hành,,GSPC,CTCP In và Bao bì Goldsun,vnBBB-,30/10/2025,Dài hạn,1081
12,Công ty cổ phần FiinRatings (FiinRatings),Tổ chức phát hành,,APG,Công ty Cổ phần Chứng khoán APG,BB-,25/08/2025,Dài hạn,1112
