run_date,source,key,label,change_type,field,old,new
16/07/2026 13:36,Phát hành,HDB12608|10/07/2026,HDB - NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),Mới,,,
16/07/2026 13:36,Phát hành,HDB12607|09/07/2026,HDB - NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),Mới,,,
16/07/2026 13:36,Phát hành,HDB12606|07/07/2026,HDB - NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),Mới,,,
16/07/2026 13:36,Mua lại,EVFH2232001|08/07/2026|15/07/2026,EVF - Công ty Tài chính Tổng hợp Cổ phần Điện Lực (Tên cũ: Công ty Tài chính cổ phần Điện Lực),Mới,,,
16/07/2026 13:36,Danh mục,LPB12604,Ngân hàng Thương mại Cổ phần Lộc Phát Việt Nam (tên cũ: Ngân hàng Thương mại cổ phần Bưu Điện Liên Việt),Đổi trạng thái,trang_thai,Chờ giao dịch,Đăng ký giao dịch
16/07/2026 13:36,Danh mục,VPB12603,NH TMCP VIỆT NAM THỊNH VƯỢNG,Mới,,,
16/07/2026 13:36,Danh mục,VPB12604,NH TMCP VIỆT NAM THỊNH VƯỢNG,Mới,,,
17/07/2026 15:22,Danh mục,HUL32601,Công ty cổ phần phát triển Bất động sản Hưng Long,Mới,,,
17/07/2026 15:22,Danh mục,MBB12615,NGÂN HÀNG TMCP QUÂN ĐỘI,Mới,,,
17/07/2026 15:22,Danh mục,MBB12616,NGÂN HÀNG TMCP QUÂN ĐỘI,Mới,,,
17/07/2026 15:22,Danh mục,MBB12617,NGÂN HÀNG TMCP QUÂN ĐỘI,Mới,,,
17/07/2026 15:22,Danh mục,P5332601,CÔNG TY TNHH PARKLAND 53,Mới,,,
17/07/2026 15:22,Danh mục,THL12602,CÔNG TY TNHH THĂNG LONG,Mới,,,
17/07/2026 15:22,Danh mục,VCB12602,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM,Mới,,,
17/07/2026 15:22,Chậm trả,32917,CTCP Hưng Thịnh Land,Mới,,,
17/07/2026 15:22,Chậm trả,32872,CTCP Dịch vụ Giải trí Hưng Thịnh Quy Nhơn,Mới,,,
17/07/2026 16:30,Danh mục,IHP12601,CÔNG TY TNHH HƯNG PHÁT INVEST HÀ NỘI,Mới,,,
17/07/2026 16:30,Danh mục,IHP32602,CÔNG TY TNHH HƯNG PHÁT INVEST HÀ NỘI,Mới,,,
20/07/2026 16:30,Phát hành,CIC12601|16/07/2026,CICC - CÔNG TY TNHH XÂY DỰNG HẠ TẦNG CRYSTAL,Mới,,,
20/07/2026 16:30,Mua lại,BIDLH2131015|16/07/2026|20/07/2026,BID - Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Mới,,,
20/07/2026 16:30,Mua lại,OCB12512|15/07/2026|20/07/2026,OCB - Ngân hàng TMCP Phương Đông,Mới,,,
20/07/2026 16:30,Danh mục,AP1CH2126001,Công ty CP Khu Công nghiệp Kỹ Thuật Cao An Phát 1,Đổi trạng thái,trang_thai,Đăng ký giao dịch,Đã hủy ĐKGD
20/07/2026 16:30,Danh mục,BAB12606,Ngân hàng Thương Mại Cổ Phần Bắc Á,Mới,,,
20/07/2026 16:30,Danh mục,BID12606,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Đổi trạng thái,trang_thai,Chờ giao dịch,Đăng ký giao dịch
20/07/2026 16:30,Danh mục,MBB12615,NGÂN HÀNG TMCP QUÂN ĐỘI,Đổi trạng thái,trang_thai,Chờ giao dịch,Đăng ký giao dịch
20/07/2026 16:30,Danh mục,MBB12616,NGÂN HÀNG TMCP QUÂN ĐỘI,Đổi trạng thái,trang_thai,Chờ giao dịch,Đăng ký giao dịch
20/07/2026 16:30,Danh mục,MBB12617,NGÂN HÀNG TMCP QUÂN ĐỘI,Đổi trạng thái,trang_thai,Chờ giao dịch,Đăng ký giao dịch
20/07/2026 16:30,Danh mục,STA12601,CÔNG TY TNHH ĐẦU TƯ STARBAY HÀ NỘI,Mới,,,
20/07/2026 16:30,Danh mục,TDR12602,CÔNG TY CỔ PHẦN TANDOLAND,Đổi trạng thái,trang_thai,Chờ giao dịch,Đăng ký giao dịch
