code,name,shortName,organCode,floor,comTypeCode,isBank,icb1_code,icb1_name,icb2_code,icb2_name,icb3_code,icb3_name,icb4_code,icb4_name
STK,Công ty Cổ phần Sợi Thế Kỷ,Sợi Thế Kỷ,CENTURY,HOSE,CT,False,3000,Hàng Tiêu dùng,3700,Hàng cá nhân & Gia dụng,3760,Hàng cá nhân,3763,Hàng May mặc
KDH,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,Nhà Khang Điền,KDH,HOSE,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
NLG,Công ty Cổ phần Đầu tư Nam Long,BĐS Nam Long,NLG,HOSE,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
PVT,Tổng Công ty Cổ phần Vận tải Dầu khí,Vận tải Dầu khí PVTrans,PVT,HOSE,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2770,Vận tải,2773,Vận tải Thủy
GEX,Công ty Cổ phần Tập đoàn Gelex,Tập đoàn Gelex,GELEX,HOSE,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2730,Điện tử & Thiết bị điện,2737,Thiết bị điện
HDC,Công ty Cổ phần Phát triển Nhà Bà Rịa Vũng Tàu,Phát triển Nhà Bà Rịa Vũng Tàu,HDC,HOSE,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
PVS,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,DVKT Dầu khí PTSC,PVS,HNX,CT,False,0001,Dầu khí,0500,Dầu khí,0570,"Thiết bị, Dịch vụ và Phân phối Dầu khí",0573,Thiết bị và Dịch vụ Dầu khí
PLC,Tổng Công ty Hóa dầu Petrolimex - Công ty Cổ phần,Hóa dầu Petrolimex,PLC,HNX,CT,False,1000,Nguyên vật liệu,1300,Hóa chất,1350,Hóa chất,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
HDG,Công ty Cổ phần Tập đoàn Hà Đô,Tập đoàn Hà Đô,HDG,HOSE,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
DPG,Công ty Cổ phần Tập đoàn Đạt Phương,Tập đoàn Đạt Phương,DATPHUONG,HOSE,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
