stt,ma_ck,isin,ten_tcdkck,ky_han,ngay_phat_hanh,ngay_dao_han,so_luong,tinh_trang,ma_cbtt,ten_ck,menh_gia,tong_so_dk,gia_tri_dk,lai_suat,hinh_thuc_ph,noi_gd,giay_cnck,ngay_gcn,cach_tra_lai,detail_id,issuer_id
1,AAA12101,VN0AAA121013,Công ty cổ phần Nhựa An Phát Xanh,3 năm,19/11/2021,19/11/2024,470,Hủy đăng ký,AAAH2124001,Trái phiếu Công ty cổ phần Nhựa An Phát Xanh (AAAH2124001),1000000000,470,470000000000,"08%/năm, cố định trong toàn bộ thời hạn trái phiếu",Trái phiếu phát hành riêng lẻ,Trái phiếu riêng lẻ,Số: 442/2023/GCNTPRL-VSDC do VSDC cấp lần đầu ngày 13/10/2023,13/10/2023,"Lãi trái phiếu là trả sau, 06 tháng một lần kể từ ngày phát hành.",34623,2
2,AAS12201,VN0AAS122011,Công ty cổ phần Chứng khoán SmartInvest,05 năm,18/02/2022,18/02/2027,67.988,Hiệu lực,AASH2227001,Trái phiếu Công ty cổ phần Chứng khoán SmartInvest (AASH2227001),1000000,67988,67988000000,"10,5%/năm",Trái phiếu phát hành riêng lẻ,Trái phiếu riêng lẻ,Số: 286/2023/GCNTPRL-VSDC do VSDC cấp lần đầu ngày 02/10/2023,02/10/2023,Tiền lãi trái phiếu sẽ được thanh toán theo kỳ tính lãi.,33871,2770
3,ABB12201,VN0ABB122019,Ngân hàng Thương mại cổ phần An Bình,3 năm,17/05/2022,17/05/2025,500,Hủy đăng ký,ABBL2225001,Trái phiếu Ngân hàng Thương mại cổ phần An Bình đợt 01 năm 2022 (ABBL2225001),1000000000,500,500000000000,"Cố định 4,4%/năm.",Trái phiếu phát hành riêng lẻ,Trái phiếu riêng lẻ,Số: 228 /2023/GCNTPRL-VSDC do Tổng công ty Lưu ký và Bù trừ chứng khoán Việt Nam cấp lần đầu ngày 28/9/2023,28/09/2023,"Tiền lãi trái phiếu được trả theo định kỳ hàng năm, 01 năm/lần. Nếu ngày trả lãi trùng vào ngày nghỉ thì tiền lãi sẽ được chuyển trả vào ngày làm việc tiếp theo.",33727,2809
4,ABB12301,VN0ABB123017,Ngân hàng Thương mại cổ phần An Bình,2 năm,25/08/2023,25/08/2025,2.000,Hủy đăng ký,ABBL2325001,Trái phiếu Ngân hàng Thương mại cổ phần An Bình đợt 01 năm 2023 (ABBL2325001),1000000000,2000,2000000000000,"cố định 6,4%/năm.",Trái phiếu phát hành riêng lẻ,Trái phiếu riêng lẻ,Số: 149/2023/GCNTPRL-VSDC do VSDC cấp lần đầu ngày 22/9/2023,22/09/2023,"Tiền lãi trái phiếu được trả theo định kỳ hàng năm, 01 năm/lần. Nếu ngày trả lãi trùng vào ngày nghỉ thì tiền lãi sẽ được chuyển trả vào ngày làm việc tiếp theo.",33479,2809
5,ABB12302,VN0ABB123025,Ngân hàng Thương mại cổ phần An Bình,3 năm,28/08/2023,28/08/2026,1.000,Hủy đăng ký,ABBL2326002,Trái phiếu Ngân hàng Thương mại cổ phần An Bình đợt 02 năm 2023 (ABBL2326002),1000000000,1000,1000000000000,"Cố định 6,6%/năm.",Trái phiếu phát hành riêng lẻ,Trái phiếu riêng lẻ,Số: 240 /2023/GCNTPRL-VSDC do VSDC cấp lần đầu ngày 29/09/2023,29/09/2023,"Tiền lãi trái phiếu được trả theo định kỳ hàng năm, 01 năm/lần. Nếu ngày trả lãi trùng vào ngày nghỉ thì tiền lãi sẽ được chuyển trả vào ngày làm việc tiếp theo.",33777,2809
6,ABB12303,VN0ABB123033,Ngân hàng Thương mại cổ phần An Bình,02 năm,02/10/2023,02/10/2025,1.000,Hủy đăng ký,ABBL2325003,Trái phiếu Ngân hàng Thương mại cổ phần An Bình đợt 03 năm 2023 (ABBL2325003),1000000000,1000,1000000000000,"Cố định 6,4%/năm.",Trái phiếu phát hành riêng lẻ,Trái phiếu riêng lẻ,Số: 733/2023/GCNTPRL-VSDC do VSDC cấp lần đầu ngày 30/10/2023,30/10/2023,"Tiền lãi trái phiếu được trả theo định kỳ hàng năm, 01 năm/lần. Nếu ngày trả lãi trùng vào ngày nghỉ thì tiền lãi sẽ được chuyển trả vào ngày làm việc tiếp theo.",35785,2809
7,ABB12304,VN0ABB123041,Ngân hàng Thương mại cổ phần An Bình,03 năm,06/11/2023,06/11/2026,1.000,Hủy đăng ký,ABBL2326004,Trái phiếu Ngân hàng Thương mại cổ phần An Bình đợt 04 năm 2023 (ABBL2326004),1000000000,1000,1000000000000,"Cố định 7,0%/năm.",Trái phiếu phát hành riêng lẻ,Trái phiếu riêng lẻ,Số: 916/2023/GCNTPRL-VSDC do VSDC cấp lần đầu ngày 21/11/2023,,"Tiền lãi trái phiếu được trả theo định kỳ hàng năm, 01 năm/lần. Nếu ngày trả lãi trùng vào ngày nghỉ thì tiền lãi sẽ được chuyển trả vào ngày làm việc tiếp theo.",37027,2809
8,ABB12305,VN0ABB123058,Ngân hàng Thương mại cổ phần An Bình,02 năm,27/11/2023,27/11/2025,1.300,Hủy đăng ký,ABBL2325005,Trái phiếu Ngân hàng Thương mại cổ phần An Bình đợt 05 năm 2023 (ABBL2325005),1000000000,1300,1300000000000,"Cố định 6,1%/năm",Trái phiếu phát hành riêng lẻ,Trái phiếu riêng lẻ,Số: 953/2023/GCNTPRL-VSDC do VSDC cấp lần đầu ngày 13/12/2023,13/12/2023,"Tiền lãi trái phiếu được trả theo định kỳ hàng năm, một năm/lần. Nếu ngày trả lãi trùng vào ngày nghỉ thì tiền lãi sẽ được chuyển trả vào ngày làm việc tiếp theo.",37655,2809
9,ABB12306,VN0ABB123066,Ngân hàng Thương mại cổ phần An Bình,02 năm,30/11/2023,30/11/2025,500,Hủy đăng ký,ABBL2325006,Trái phiếu Ngân hàng Thương mại cổ phần An Bình đợt 06 năm 2023 (ABBL2325006),1000000000,500,500000000000,"Cố định 6,0%/năm.",Trái phiếu phát hành riêng lẻ,Trái phiếu riêng lẻ,Số: 968/2023/GCNTPRL-VSDC do VSDC cấp lần đầu ngày 15/12/2023,15/12/2023,"Tiền lãi trái phiếu được trả theo định kỳ hàng năm, một năm/lần. Nếu ngày trả lãi trùng vào ngày nghỉ thì tiền lãi sẽ được chuyển trả vào ngày làm việc tiếp theo.",37733,2809
10,ABB12307,VN0ABB123074,Ngân hàng Thương mại cổ phần An Bình,02 năm,06/12/2023,06/12/2025,1.000,Hủy đăng ký,ABBL2325007,Trái phiếu Ngân hàng Thương mại cổ phần An Bình đợt 07 năm 2023 (ABBL2325007),1000000000,1000,1000000000000,"Cố định 6,2%/năm.",Trái phiếu phát hành riêng lẻ,Trái phiếu riêng lẻ,Số: 969/2023/GCNTPRL-VSDC do VSDC cấp lần đầu ngày 15/12/2023,15/12/2023,"Tiền lãi trái phiếu được trả theo định kỳ hàng năm, một năm/lần. Nếu ngày trả lãi trùng vào ngày nghỉ thì tiền lãi sẽ được chuyển trả vào ngày làm việc tiếp theo.",37734,2809
